romaji,hiragana,translation
hansamu[na],ハンサム［な］,handsome
kirei[na],きれい［な］,"beautiful, clean"
shizuka[na],しずか［な］,quiet
nigiyaka[na],にぎやか［な］,lively
yūmei[na],ゆうめい［な］,famous
shinsetsu[na],しんせつ［な］,"helpful, kind, considerate (not used about one's own family members)"
genki[na],げんき［な］,"healthy, energetic, cheerful"
hima[na],ひま［な］,free (time)
benri[na],べんり［な］,convenient
suteki[na],すてき［な］,"fine, nice, wonderful"
ōkii,おおきい,"big, large"
chiisai,ちいさい,"small, little"
atarashii,あたらしい,"new, fresh"
furui,ふるい,old (not used to describe a person's age)
ii (yoi),いい（よい）,good
warui,わるい,bad
atsui,あつい,hot
samui,さむい,cold (referring to temperature)
tsumetai,つめたい,cold (referring to touch)
muzukashii,むずかしい,difficult
yasashii,やさしい,easy
takai,たかい,"expensive, tall, high"
yasui,やすい,"inexpensive, cheap"
hikui,ひくい,low
omoshiroi,おもしろい,interesting
oishii,おいしい,"delicious, tasty"
isogashii,いそがしい,busy
tanoshii,たのしい,enjoyable
shiroi,しろい,white
kuroi,くろい,black
akai,あかい,red
aoi,あおい,blue
sakura,さくら,cherry (blossom)
yama,やま,mountain
machi,まち,"town, city"
tabemono,たべもの,food
tokoro,ところ,place
ryo,りょ,dormitory
resutoran,レストラン,restaurant
seikatsu,せいかつ,life
[o-]shigoto,［お］しごと,"work, business (~ o shimasu : do one's job, work)"
dō,どう,how
donna ~,どんな～,what kind of ~
totemo,とても,very
amari,あまり,not so (used with negatives)
soshite,そして,and (used to connect sentences)
"~ ga, ~",～が、～,"~, but ~"
O-genki desu ka.,おげんきですか。,How are you?
Sō desu ne.,そうですね。,Well let me see. (pausing)
"[~,] mō ippai ikaga desu ka.",［～、］もう いっぱい いかがですか。,Won't you have another cup of [~]?
"[Iie,] kekkō desu.",［いいえ、］けっこうです。,"No, thank you."
Mō ~ desu [ne].,もう ～です［ね］。,"It's already ~[, isn't it?]"
Sorosoro shitsurei-shimasu.,そろそろ しつれいします。,It's time I was going.
Iie.,いいえ。,Not at all.
Mata irasshatte kudasai.,また いらっしゃってください。,Please come again.
Shanhai,シャンハイ,Shanghai (上海)
Kinkakuji,きんかくじ,Kinkakuji Temple (the Golden Pavilion)
Nara-kōen,ならこうえん,Nara Park
Fujisan,ふじさん,"Mt. Fuji, the highest mountain in Japan"
Shichi-nin no samurai,しちにんのさむらい,"'The Seven Samurai', a classic movie by Akira Kurosawa"
shiro,しろ,white (noun)
kuro,くろ,black (noun)
aka,あか,red (noun)
ao,あお,blue (noun)
midori,みどり,green (noun)
murasaki,むらさき,purple (noun)
kiiro,きいろ,yellow (noun)
kiiroi,きいろい,yellow (adjective)
chairo,ちゃいろ,brown (noun)
chairoi,ちゃいろい,brown (adjective)
pinku,ピンク,pink (noun)
orenji,オレンジ,orange (noun)
gurē,グレー,gray (noun)
bēju,ベージュ,beige (noun)
amai,あまい,sweet
karai,からい,hot (spicy)
nigai,にがい,bitter
shiokarai,しおからい,salty
suppai,すっぱい,sour
koi,こい,strong (taste/flavor)
usui,うすい,weak (taste/flavor)
haru,はる,Spring
natsu,なつ,Summer
aki,あき,Autumn
fuyu,ふゆ,Winter
